"time (s)" "accel (m/s/s)"
0.000000 0.000077
0.005000 0.000184
0.010000 0.000039
0.015000 0.000042
0.020000 0.000170
0.025000 -0.000065
0.030000 -0.000158
0.035000 0.000111
0.040000 0.000239
0.045000 -0.000023
0.050000 -0.000271
0.055000 -0.000137
0.060000 0.000098
0.065000 0.000029
0.070000 -0.000123
0.075000 -0.000013
0.080000 0.000142
0.085000 0.000232
0.090000 0.000146
0.095000 -0.000047
0.100000 0.000087
0.105000 0.000077
0.110000 -0.000192
0.115000 -0.000051
0.120000 0.000001
0.125000 -0.000047
0.130000 0.000060
0.135000 0.000115
0.140000 0.000194
0.145000 0.000063
0.150000 0.000029
0.155000 0.000091
0.160000 0.000125
0.165000 0.000067
0.170000 -0.000237
0.175000 -0.000199
0.180000 -0.000020
0.185000 -0.000030
0.190000 -0.000027
0.195000 0.000053
0.200000 -0.000023
0.205000 -0.000320
0.210000 -0.000230
0.215000 -0.000178
0.220000 -0.000289
0.225000 0.000004
0.230000 -0.000071
0.235000 -0.000202
0.240000 -0.000016
0.245000 -0.000033
0.250000 -0.000006
0.255000 -0.000040
0.260000 0.000032
0.265000 0.000229
0.270000 0.000156
0.275000 -0.000044
0.280000 0.000029
0.285000 0.000284
0.290000 0.000063
0.295000 -0.000013
0.300000 0.000063
0.305000 -0.000085
0.310000 0.000063
0.315000 0.000008
0.320000 -0.000140
0.325000 0.000094
0.330000 0.000080
0.335000 -0.000178
0.340000 -0.000140
0.345000 0.000063
0.350000 0.000104
0.355000 0.000035
0.360000 0.000015
0.365000 0.000091
0.370000 0.000156
0.375000 0.000015
0.380000 -0.000085
0.385000 0.000022
0.390000 0.000101
0.395000 0.000063
0.400000 -0.000033
0.405000 0.000077
0.410000 0.000187
0.415000 0.000039
0.420000 -0.000102
0.425000 -0.000002
0.430000 0.000118
0.435000 0.000046
0.440000 0.000049
0.445000 0.000115
0.450000 0.000070
0.455000 -0.000054
0.460000 -0.000089
0.465000 0.000011
0.470000 0.000032
0.475000 -0.000065
0.480000 -0.000199
0.485000 -0.000223
0.490000 -0.000178
0.495000 -0.000258
